Agency Name,State Name [District] Latest available year,County Name [District] 2014-15,Total Number Operational Schools [Public School] 2014-15,Total Number Operational Charter Schools [Public School] 2014-15,Total Number of Public Schools [Public School] 2014-15,Agency Type [District] 2014-15,Urban-centric Locale [District] 2014-15,Agency Charter Status [District] 2014-15,Lowest Grade Offered [District] 2014-15,Highest Grade Offered [District] 2014-15,"Total Students, All Grades (Excludes AE) [District] 2014-15",Full-Time Equivalent (FTE) Teachers [District] 2014-15,Pupil/Teacher Ratio [District] 2014-15
LIBERTY PREPARATORY SCHOOL,Ohio,WAYNE COUNTY,1,1,1,7-Independent Charter District,32-Town: Distant,1-All associated schools are charter schools,7th Grade,12th Grade,36,–,–
LIBERTY SCHOOL DISTRICT,Washington,SPOKANE COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,417,28.34,14.71
LIBERTY TRADITIONAL CHARTER SCHOOL,Arizona,MARICOPA COUNTY,2,2,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,524,–,–
LIBERTY UNION HIGH,California,CONTRA COSTA COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,9th Grade,12th Grade,8087,336.43,24.04
LIBERTY UNION-THURSTON LOCAL,Ohio,FAIRFIELD COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,1304,–,–
LIBERTY-BENTON LOCAL,Ohio,HANCOCK COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,1350,–,–
LIBERTY-EYLAU ISD,Texas,BOWIE COUNTY,6,0,7,1-Regular local school district that is NOT a component of a supervisory union,13-City: Small,3-All associated schools are noncharter,Prekindergarten,12th Grade,2560,207.64,12.33
LIBERTY-PERRY COM SCHOOL CORP,Indiana,DELAWARE COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,981,67,14.64
LIBERTYVILLE SD 70,Illinois,LAKE COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,8th Grade,2471,166.5,14.84
LICK CREEK CCSD 16,Illinois,JOHNSON COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,8th Grade,124,10.65,11.64
LICKING COUNTY ESC,Ohio,LICKING COUNTY,0,0,†,4-Regional Education Service Agency (RESA),23-Suburb: Small,†,Prekindergarten,Prekindergarten,0,–,–
LICKING HEIGHTS LOCAL,Ohio,LICKING COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,3843,–,–
LICKING R-VIII,Missouri,TEXAS COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,844,58.5,14.43
LICKING VALLEY LOCAL,Ohio,LICKING COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,1963,–,–
LIDGERWOOD 28,North Dakota,RICHLAND COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,180,17.14,10.5
LIFE PREP,Minnesota,RAMSEY COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,6th Grade,323,24.6,13.13
LIFE SCHOOL,Texas,DALLAS COUNTY,5,5,6,7-Independent Charter District,41-Rural: Fringe,1-All associated schools are charter schools,Kindergarten,12th Grade,5026,289.57,17.36
LIFE SKILLS CENTER  OF CANTON,Ohio,STARK COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,9th Grade,12th Grade,133,–,–
LIFE SKILLS CENTER OF ARIZONA  INC.,Arizona,MARICOPA COUNTY,1,1,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,265,–,–
LIFE SKILLS CENTER OF COLUMBUS NORTH,Ohio,FRANKLIN COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,137,–,–
LIFE SKILLS CENTER OF COLUMBUS SOUTHEAST,Ohio,FRANKLIN COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,160,–,–
LIFE SKILLS CENTER OF DAYTON,Ohio,MONTGOMERY COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,9th Grade,12th Grade,241,–,–
LIFE SKILLS CENTER OF ELYRIA,Ohio,LORAIN COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,9th Grade,12th Grade,162,–,–
LIFE SKILLS CENTER OF HAMILTON COUNTY,Ohio,HAMILTON COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,64,–,–
LIFE SKILLS CENTER OF NORTH AKRON,Ohio,SUMMIT COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,9th Grade,12th Grade,129,–,–
LIFE SKILLS CENTER OF PONTIAC,Michigan,OAKLAND COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,9th Grade,12th Grade,172,6,28.67
LIFE SKILLS CENTER OF TOLEDO,Ohio,LUCAS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,112,–,–
LIFE SKILLS CTR OF CINCINNATI,Ohio,HAMILTON COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,124,–,–
LIFE SKILLS CTR OF YOUNGSTOWN,Ohio,MAHONING COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,9th Grade,12th Grade,180,–,–
LIFE SKILLS HIGH SCHOOL OF CLEVELAND,Ohio,CUYAHOGA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,113,–,–
LIFE SKILLS HIGH SCHOOL OF MIDDLETOWN,Ohio,BUTLER COUNTY,1,1,1,7-Independent Charter District,23-Suburb: Small,1-All associated schools are charter schools,9th Grade,12th Grade,92,–,–
LIFE SKILLS HIGH SCHOOL OF SPRINGFIELD,Ohio,CLARK COUNTY,0,0,1,7-Independent Charter District,13-City: Small,†,9th Grade,12th Grade,†,†,†
LIFE SKILLS OF NORTHEAST OHIO,Ohio,CUYAHOGA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,113,–,–
LIFELINKS COMMUNITY SCHOOL,Ohio,VAN WERT COUNTY,1,1,1,7-Independent Charter District,32-Town: Distant,1-All associated schools are charter schools,7th Grade,12th Grade,65,–,–
LIFELONG LEARNING RESEARCH INSTITUTE INC. 1,Arizona,PIMA COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,34,–,–
LIFELONG LEARNING RESEARCH INSTITUTE INC. 2,Arizona,PIMA COUNTY,2,2,2,7-Independent Charter District,41-Rural: Fringe,1-All associated schools are charter schools,Kindergarten,8th Grade,81,–,–
LIFETECH ACADEMY,Michigan,INGHAM COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,7th Grade,12th Grade,90,0.92,97.83
LIFT FOR LIFE ACADEMY,Missouri,ST. LOUIS CITY,2,2,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,6th Grade,12th Grade,572,46.66,12.26
LIGHT OF THE WORLD ACADEMY,MICHIGAN,†,0,0,1,7-Independent Charter District,†,1-All associated schools are charter schools,†,†,†,†,†
LIGHTHOUSE ACADEMY,Michigan,KENT COUNTY,5,5,5,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,Kindergarten,12th Grade,345,30.63,11.26
LIGHTHOUSE ACADEMY (CHARTER),Oklahoma,TULSA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,6th Grade,379,23.47,16.15
LIGHTHOUSE CHARTER SCHOOL,Texas,BEXAR COUNTY,1,1,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,8th Grade,262,18,14.56
LIGHTHOUSE COMMUNITY SCH INC,Ohio,HAMILTON COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,7th Grade,12th Grade,63,–,–
LIGONIER VALLEY SD,Pennsylvania,WESTMORELAND COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1572,108.7,14.46
LIMA CITY,Ohio,ALLEN COUNTY,9,0,9,1-Regular local school district that is NOT a component of a supervisory union,13-City: Small,3-All associated schools are noncharter,Prekindergarten,12th Grade,3881,–,–
LIMA K-12 SCHOOLS,Montana,BEAVERHEAD COUNTY,3,†,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,63,–,–
LIMESTONE CHSD 310,Illinois,PEORIA COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,9th Grade,12th Grade,1140,75.91,15.02
LIMESTONE COUNTY,Alabama,LIMESTONE COUNTY,13,†,13,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,8884,476.5,18.64
LIMESTONE WALTERS CCSD 316,Illinois,PEORIA COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,8th Grade,184,11,16.73
LIMON SCHOOL DISTRICT NO. RE 4J,Colorado,LINCOLN COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,476,31.91,14.92
LINCOLN,Massachusetts,MIDDLESEX COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,8th Grade,1241,121.45,10.22
LINCOLN,Kansas,LINCOLN COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,358,40.4,8.86
LINCOLN,Montana,LINCOLN COUNTY,0,†,†,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),33-Town: Remote,†,†,†,–,–,–
LINCOLN,Rhode Island,PROVIDENCE COUNTY,6,0,6,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,3084,191,16.15
LINCOLN ACADEMY,Utah,UTAH COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,9th Grade,866,–,–
LINCOLN CHARTER SCHOOL,North Carolina,LINCOLN COUNTY,1,1,1,7-Independent Charter District,41-Rural: Fringe,1-All associated schools are charter schools,Kindergarten,12th Grade,1790,106.74,16.77
LINCOLN CHSD 404,Illinois,LOGAN COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,9th Grade,12th Grade,862,53.83,16.01
LINCOLN CO SCHOOL DIST,Mississippi,LINCOLN COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,3154,187.11,16.86
LINCOLN CONSOLIDATED SCHOOL DISTRICT,Michigan,WASHTENAW COUNTY,6,0,6,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,4187,222.6,18.81
LINCOLN COUNTY,Tennessee,LINCOLN COUNTY,8,0,8,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,4034,261,15.46
LINCOLN COUNTY,Kentucky,LINCOLN COUNTY,10,†,10,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,4045,248.57,16.27
LINCOLN COUNTY,Georgia,LINCOLN COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1191,79.7,14.94
LINCOLN COUNTY H S,Montana,LINCOLN COUNTY,1,†,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,9th Grade,12th Grade,280,–,–
LINCOLN COUNTY SCHOOL DISTRICT,Nevada,LINCOLN COUNTY,10,0,11,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1015,–,–
LINCOLN COUNTY SCHOOL DISTRICT #1,Wyoming,LINCOLN COUNTY,4,0,7,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,634,49.83,12.72
LINCOLN COUNTY SCHOOL DISTRICT #2,Wyoming,LINCOLN COUNTY,9,0,9,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Kindergarten,12th Grade,2681,196.41,13.65
LINCOLN COUNTY SCHOOLS,West Virginia,LINCOLN COUNTY,8,†,8,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,3711,255,14.55
LINCOLN COUNTY SCHOOLS,North Carolina,LINCOLN COUNTY,24,0,24,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,11755,780.11,15.07
LINCOLN COUNTY SD,Oregon,LINCOLN COUNTY,16,4,16,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,2-All associated schools are charter and noncharter,Kindergarten,12th Grade,5240,262.56,19.96
LINCOLN CS,Pennsylvania,YORK COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Kindergarten,5th Grade,772,20,38.6
LINCOLN ELEMENTARY,California,MARIN COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,6th Grade,5,0,†
LINCOLN ESD 156,Illinois,COOK COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,8th Grade,1024,57.02,17.96
LINCOLN ESD 27,Illinois,LOGAN COUNTY,6,0,6,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,8th Grade,1238,85.13,14.54
LINCOLN INTERNATIONAL SCHOOL,Minnesota,HENNEPIN COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,139,10,13.9
LINCOLN IU 12,Pennsylvania,ADAMS COUNTY,0,0,†,4-Regional Education Service Agency (RESA),23-Suburb: Small,†,Kindergarten,12th Grade,1780,410.67,4.33
LINCOLN K-12 SCHOOLS,Montana,LEWIS AND CLARK COUNTY,3,†,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,115,–,–
LINCOLN LEADERSHIP ACADEMY CHARTER SCHOOL,Pennsylvania,LEHIGH COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,Kindergarten,12th Grade,585,42.99,13.61
LINCOLN PARISH,Louisiana,LINCOLN PARISH,12,0,12,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,5715,428.07,13.35
LINCOLN PARK ACADEMY,Ohio,CUYAHOGA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,235,–,–
